subject,mapping
http://github.com/cywlol/promoters/ModuleDefinition/sample_design_definition_0/media_module_0/1,0
http://github.com/cywlol/promoters/ModuleDefinition/sample_design_definition_0/strain_module_0/1,1
http://github.com/cywlol/promoters/ModuleDefinition/strain_definition_0/chassis_module_0/1,2
