subject,mapping
https://synbiohub.org/user/cywong/Ecolipromoterexpdataalt/ComponentDefinition_gfp_0/1,0
https://synbiohub.org/user/cywong/Ecolipromoterexpdataalt/ComponentDefinition_circuit_definition_0/1,1
https://synbiohub.org/user/cywong/Ecolipromoterexpdataalt/ComponentDefinition_promoter_definition_0/1,2
