split,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,sensitivity,specificity,tn,fp,fn,tp,auroc,auprc,loss
train,0.677001953125,0.6040195187714311,0.6045468553188792,0.8399011265864905,0.258522810405876,0.39535482138661715,0.28954027495943335,0.258522810405876,0.9505709002318824,64770,3368,50677,17669,0.6558254815948648,0.6935679065967424,0.6377373125947502
validation,0.677001953125,0.5651348856292953,0.5648089094905755,0.7202235417394341,0.21170431211498975,0.32722367690232484,0.18310597586920666,0.21170431211498975,0.9179135068661611,8957,801,7678,2062,0.5992489656252143,0.6200764232682243,0.6742779601047022
test,0.677001953125,0.5707508462406401,0.5690585024061483,0.7242424242424242,0.22171829098593002,0.3395020321193229,0.19218243442072278,0.22171829098593002,0.9163987138263665,17955,1638,15101,4302,0.6005686537404791,0.6242360748984597,0.6722599104553513
